Критерии,ВУЗы,,,,,,,,,,,
,Soft Skills (преподается на иностранном языке),4 курс — 5 ЗЕТ,Дискретная математика,1 курс — 8 ЗЕТ,Философия,2 курс — 2 ЗЕТ,Математический анализ,1 курс — 14 ЗЕТ,История России,1 курс — 4 ЗЕТ,История России,1 курс — 4 ЗЕТ
,Дискретная математика,1 курс — 8 ЗЕТ,Линейная алгебра и геометрия,1 курс — 8 ЗЕТ,Иностранный язык,1 курс — 5 ЗЕТ,Алгебра,1 курс — 12 ЗЕТ,Философия,2 курс — 3 ЗЕТ,Философия,2 курс — 3 ЗЕТ
,Линейная алгебра и геометрия,1 курс — 6 ЗЕТ,Математический анализ,1 курс — 8 ЗЕТ,Безопасность жизнедеятельности,4 курс — 3 ЗЕТ,Дискретная математика,1 курс — 11 ЗЕТ,Основы проектной деятельности,1 курс — 4 ЗЕТ,Безопасность жизнедеятельности,2 курс — 4 ЗЕТ
,Математический анализ,1 курс — 8 ЗЕТ,Общая алгебра,1 курс — 5 ЗЕТ,Концепции современного естествознания,2 курс — 6 ЗЕТ,Языки и методы программирования,1 курс — 9 ЗЕТ,Математический анализ,1 курс — 13 ЗЕТ,Основы проектной деятельности,1 курс — 4 ЗЕТ
,Общая алгебра,1 курс — 6 ЗЕТ,Программирование C/C++,1 курс — 8 ЗЕТ,Математический анализ,1 курс — 20 ЗЕТ,Физическая культура и спорт,1 курс — 2 ЗЕТ,Основы российской государственности,1 курс — 2 ЗЕТ,Математический анализ,1 курс — 22 ЗЕТ
,Методы оптимизации,3 курс — 4 ЗЕТ,Технологии программирования,1 курс — 5 ЗЕТ,Алгебра и геометрия,1 курс — 10 ЗЕТ,Безопасность жизнедеятельности,1 курс — 2 ЗЕТ,Линейная алгебра,1 курс — 4 ЗЕТ,Основы российской государственности,1 курс — 2 ЗЕТ
,Распределенные вычисления,3 курс — 4 ЗЕТ,Архитектура компьютера и операционные системы,2 курс — 3 ЗЕТ,Теория вероятностей и математическая статистика,2 курс — 9 ЗЕТ,Иностранный язык,1 курс — 9 ЗЕТ,Физика,1 курс — 8 ЗЕТ,Алгебра и геометрия,1 курс — 10 ЗЕТ
,Программирование Python,1 курс — 4 ЗЕТ,Программирование Python,2 курс — 3 ЗЕТ,Дискретная математика,1 курс — 3 ЗЕТ,Философия,2 курс — 4 ЗЕТ,Информатика,1 курс — 5 ЗЕТ,Дискретная математика,1 курс — 9 ЗЕТ
,Теория вероятностей и математическая статистика,2 курс — 8 ЗЕТ,Теория вероятностей и математическая статистика,2 курс — 6 ЗЕТ,Математические основы информатики,1 курс — 8 ЗЕТ,Дифференциальные уравнения,2 курс — 7 ЗЕТ,Теория вероятностей и математическая статистика,1 курс — 4 ЗЕТ,Основы программирования,1 курс — 6 ЗЕТ
,Базы Данных (преподается на иностранном языке),2 курс — 6 ЗЕТ,Управление данными,2 курс — 5 ЗЕТ,Теория систем и системный анализ,4 курс — 2 ЗЕТ,Алгоритмы и структуры данных,2 курс — 9 ЗЕТ,Дискретная математика,1 курс — 4 ЗЕТ,Структуры данных и алгоритмы,1 курс — 7 ЗЕТ
