Критерии,ВУЗы,,,,,,,,,,,
,Проект,2–4 курс — 12 ЗЕТ,Дифференциальные уравнения (на иностранном языке),"3 курс — 4 ЗЕТ (выборное, специализация 2)",Программная инженерия,4 курс — 5 ЗЕТ,Теоретическая механика (выборное),2 курс — 4 ЗЕТ,Математические методы в экономике,3 курс — 4 ЗЕТ,Методы принятия оптимальных решений,4 курс — 3 ЗЕТ (выборное)
,Подготовка выпускной квалификационной работы,4 курс — 6 ЗЕТ,Вычислительная линейная алгебра,"4 курс — 4 ЗЕТ (выборное, специализация 2)",Теория вычислимости,3 курс — 3 ЗЕТ,Концепции современного естествознания (выборное),2 курс — 2 ЗЕТ,Методы машинного обучения и локального поиска,4 курс — 3 ЗЕТ,Основы криптографии,3 курс — 3 ЗЕТ (выборное)
,Безопасность жизнедеятельности,1 курс — 1 ЗЕТ,Матричные вычисления (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 2)",Численные методы,3 курс — 3 ЗЕТ,Прикладной тензорный анализ (выборное),2 курс — 2 ЗЕТ,Проектирование информационных систем и технологий,4 курс — 4 ЗЕТ (выборное),Основы теории информации и криптографии,3 курс — 3 ЗЕТ (выборное)
,Физическая культура,2 курс — 1 ЗЕТ,Прикладная теория графов,"4 курс — 3 ЗЕТ (выборное, специализация 2)",Введение в проектную деятельность в сфере прикладной информатики,3 курс — 2 ЗЕТ,Современное естествознание (выборное),3 курс — 5 ЗЕТ,Программное обеспечение информационных систем,4 курс — 4 ЗЕТ (выборное),Разработка объектно-ориентированных программ с использованием С#/C++,3 курс — 3 ЗЕТ (выборное)
,Правовая грамотность,2 курс — 3 ЗЕТ,Алгоритмы работы с внешней памятью,"4 курс — 3 ЗЕТ (выборное, специализация 2)",Расчет ресурсных характеристик конструктивных элементов с использованием программного продукта Логос (выборное),3 курс — 4 ЗЕТ,Математические модели современного естествознания (выборное),3 курс — 5 ЗЕТ,Обработка сигналов,3 курс — 3 ЗЕТ (выборное),Объектно-ориентированное программирование,3 курс — 3 ЗЕТ (выборное)
,Экономика,4 курс — 3 ЗЕТ,Архитектура вычислительных систем,"4 курс — 3 ЗЕТ (выборное, специализация 2)",Задачи оптимизации на графах (выборное),3 курс — 4 ЗЕТ,Вычислительная геометрия (выборное),3 курс — 2 ЗЕТ,Теория случайных процессов,3 курс — 3 ЗЕТ (выборное),"Численное моделирование динамических систем, описываемых ОДУ",3 курс — 3 ЗЕТ (выборное)
,История России,1 курс — 4 ЗЕТ,Введение в процедуры множественной проверки гипотез,"3 курс — 3 ЗЕТ (выборное, специализация 2)",Моделирование течений жидкости и газа методами вычислительной гидроаэродинамики (выборное),3 курс — 3 ЗЕТ,Биоинспирированные методы оптимизации (выборное),3 курс — 2 ЗЕТ,Модели организационных систем,3 курс — 3 ЗЕТ (выборное),Численное решение начальных и краевых задач для ОДУ,3 курс — 3 ЗЕТ (выборное)
,Основы российской государственности,1 курс — 2 ЗЕТ,Распределенные вычисления,"4 курс — 3 ЗЕТ (выборное, специализация 2)",Многопоточное программирование (выборное),3 курс — 3 ЗЕТ,Параллельное программирование для кластерных систем (выборное),3 курс — 2 ЗЕТ,Математическая экономика,3 курс — 3 ЗЕТ (выборное),Создание современных кроссплатформенных приложений на основе web-технологий,3 курс — 3 ЗЕТ (выборное)
,Minor,2–3 курс — 20 ЗЕТ (выборное),Исследование операций,"3 курс — 4 ЗЕТ (выборное, специализация 2)",Моделирование высокоскоростного удара с грунтом в среде моделирования ЛОГОС (выборное),4 курс — 4 ЗЕТ,Вероятностные модели в финансовой математике (выборное),3 курс — 2 ЗЕТ,Параллельное программирование,3 курс — 3 ЗЕТ (выборное),Разработка web-приложений и распределенных информационных систем,3 курс — 3 ЗЕТ (выборное)
,Независимый экзамен по английскому языку,— без ЗЕТ,Риски и случайные процессы,"3 курс — 3 ЗЕТ (выборное, специализация 2)","Пользовательский интерфейс - разработка, тестирование (выборное)",4 курс — 4 ЗЕТ,Введение в биоинформатику (выборное),3 курс — 2 ЗЕТ,Машинные языки и программирование,3 курс — 3 ЗЕТ (выборное),Введение в архитектуру компьютера,2 курс — 3 ЗЕТ (выборное)
,Подготовка и защита Project Proposal по теме ВКР,4 курс — 1 ЗЕТ,Непрерывные методы оптимизации,"3 курс — 3 ЗЕТ (выборное, специализация 2)",Численное моделирование поведения пороупругих тел и сред (выборное),4 курс — 3 ЗЕТ,Современные архитектуры глубоких нейронных сетей и подходы к их обучению (выборное),3 курс — 2 ЗЕТ,Экономика и управление производственными системами,3 курс — 3 ЗЕТ,Архитектура электронно-вычислительных машин и вычислительных систем,2 курс — 3 ЗЕТ (выборное)
,Независимый экзамен по русскому языку,— без ЗЕТ,Моделирование финансовых операций (на иностранном языке),"3 курс — 4 ЗЕТ (выборное, специализация 2)",Модели и алгоритмы систем информационной поддержки жизненного цикла изделий (выборное),4 курс — 3 ЗЕТ,Целочисленное программирование (выборное),3 курс — 3 ЗЕТ,Экономика предприятия,3 курс — 1 ЗЕТ (выборное),Экономика и управление производственными системами,4 курс — 3 ЗЕТ
,Внутренний экзамен по английскому языку (1 курс),— без ЗЕТ,Алгоритмы исследования операций,"3 курс — 4 ЗЕТ (выборное, специализация 2)",Решение задач в модуле ЛОГОС Тепло (выборное),4 курс — 5 ЗЕТ,Управление колебаниями динамических систем (выборное),3 курс — 3 ЗЕТ,Управление производственными системами,3 курс — 1 ЗЕТ (выборное),Экономика предприятия,4 курс — 1 ЗЕТ (выборное)
,Английский язык (преподается на иностранном языке),1–2 курс — 14 ЗЕТ (факультатив),Стохастические модели принятия решений,"3 курс — 4 ЗЕТ (выборное, специализация 2)",Основы методов анализа предметных областей (выборное),4 курс — 5 ЗЕТ,Операционные системы (выборное),3 курс — 3 ЗЕТ,Физическая культура и спорт,1 курс — 2 ЗЕТ,Управление производственными системами,4 курс — 1 ЗЕТ (выборное)
,Академическое письмо на английском языке (преподается на иностранном языке),4 курс — 2 ЗЕТ (факультатив),Распределенные вычисления,"3 курс — 4 ЗЕТ (выборное, специализация 3)",Ознакомительная практика,3 курс — 7 ЗЕТ,Компьютерное моделирование вероятностных процессов (выборное),3 курс — 3 ЗЕТ,Учебная практика: ознакомительная практика,1 курс — 3 ЗЕТ,Физическая культура и спорт,1 курс — 2 ЗЕТ
,Независимый экзамен по алгоритмическому мышлению и программированию. Продвинутый уровень,— без ЗЕТ,Проектирование архитектуры программных систем (на иностранном языке),"3 курс — 3 ЗЕТ (выборное, специализация 3)",Технологическая (проектно-технологическая) практика,3 курс — 3 ЗЕТ,Введение в нелинейную динамику (выборное),3 курс — 3 ЗЕТ,Учебная практика: технологическая (проектно-технологическая) практика,3 курс — 3 ЗЕТ,Учебная практика: ознакомительная практика,3 курс — 2 ЗЕТ
,"Независимый экзамен по анализу данных, искусственному интеллекту и генеративным моделям. Продвинутый уровень",3 курс — 1 ЗЕТ,Проектирование отказоустойчивых систем,"4 курс — 3 ЗЕТ (выборное, специализация 3)",Научно-исследовательская работа,4 курс — 6 ЗЕТ,Информационная нейродинамика.  Сосредоточенные системы (выборное),3 курс — 3 ЗЕТ,Производственная практика: научно-исследовательская работа,4 курс — 5 ЗЕТ,Учебная практика: технологическая (проектно-технологическая) практика,4 курс — 3 ЗЕТ
,Анализ данных (продвинутый уровень),3 курс — 3 ЗЕТ,Введение в blockchain (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 3)",Преддипломная практика,4 курс — 6 ЗЕТ,Оптимальное управление динамическими системами (выборное),3 курс — 2 ЗЕТ,Производственная практика: преддипломная (технологическая) практика,4 курс — 14 ЗЕТ,Производственная практика: технологическая (проектно-технологическая) практика,4 курс — 3 ЗЕТ
,Независимый экзамен по ИИ-грамотности,— без ЗЕТ,Разработка мобильных приложений,"3 курс — 3 ЗЕТ (выборное, специализация 3)",Выпускная квалификационная работа - бакалаврская работа,4 курс — 9 ЗЕТ,Дискретная оптимизация (выборное),3 курс — 2 ЗЕТ,Выполнение и защита выпускной квалификационной работы,4 курс — 9 ЗЕТ,Производственная практика: преддипломная практика,4 курс — 7 ЗЕТ
,Защита выпускной квалификационной работы,4 курс — 1 ЗЕТ,Методы и технологии DevOps,"3 курс — 4 ЗЕТ (выборное, специализация 3)",Распределение ограниченных ресурсов в сетевых детерминированных системах,3 курс — 1 ЗЕТ,Инструменты программирования (выборное),3 курс — 2 ЗЕТ,Иностранный язык (для продолжающих обучение),2 курс — 7 ЗЕТ (факультатив),Выполнение и защита выпускной квалификационной работы,4 курс — 9 ЗЕТ
,,,Low-Code системы разработки приложений (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 3)",Распределение ограниченных ресурсов в сетевых стохастических системах,3 курс — 1 ЗЕТ,Теория выбора и принятия решений (выборное),3 курс — 2 ЗЕТ,Введение в компьютерное зрение,3 курс — 2 ЗЕТ (факультатив),Проектная деятельность,2 курс — 10 ЗЕТ (факультатив)
,,,Анализ и разработка требований,"3 курс — 3 ЗЕТ (выборное, специализация 3)",Проектирование Startup,4 курс — 1 ЗЕТ,Численное моделирование динамики распределенных систем (выборное),3 курс — 2 ЗЕТ,Проектная деятельность,2 курс — 9 ЗЕТ (факультатив),Функциональный анализ,2 курс — 3 ЗЕТ (факультатив)
,,,Обеспечение качества и тестирование,"3 курс — 5 ЗЕТ (выборное, специализация 3)",Задачи нумерации вершин графов,4 курс — 1 ЗЕТ,Модели и задачи управления роботами-манипуляторами (выборное),3 курс — 2 ЗЕТ,Индустриальный интернет вещей,4 курс — 2 ЗЕТ (факультатив),,
,,,Безопасность компьютерных систем (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 3)",Распознавание изображений,4 курс — 1 ЗЕТ,Математические модели процессов отбора (выборное),3 курс — 3 ЗЕТ,,,,
,,,Проектирование интерфейсов (UI/UX),"3 курс — 3 ЗЕТ (выборное, специализация 3)",,,Теория графов (выборное),3 курс — 3 ЗЕТ,,,,
,,,Веб-программирование (на иностранном языке),"3 курс — 5 ЗЕТ (выборное, специализация 3)",,,Параллельное программирование для систем с общей памятью (выборное),3 курс — 3 ЗЕТ,,,,
,,,Многопоточное программирование (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 3)",,,Дополнительные главы теории вероятностей (выборное),3 курс — 3 ЗЕТ,,,,
,,,Методы и системы обработки больших данных,"4 курс — 3 ЗЕТ (выборное, специализация 3)",,,Качественные методы нелинейной динамики (выборное),3 курс — 3 ЗЕТ,,,,
,,,Алгоритмы и структуры данных 2,"4 курс — 4 ЗЕТ (выборное, специализация 3)",,,Информационная нейродинамика. Распределенные системы (выборное),3 курс — 3 ЗЕТ,,,,
,,,Моделирование бизнес-процессов,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Методы моделирования и прикладной анализ данных (выборное),4 курс — 2 ЗЕТ,,,,
,,,Теория организации,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Теория кодирования (выборное),4 курс — 2 ЗЕТ,,,,
,,,Имитационное моделирование,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Основы компьютерного зрения (выборное),4 курс — 2 ЗЕТ,,,,
,,,Автоматизация сквозных процессов производственного предприятия (Postmodern ERP) (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 4)",,,Статистика случайных процессов (выборное),4 курс — 2 ЗЕТ,,,,
,,,Архитектура предприятия,"4 курс — 3 ЗЕТ (выборное, специализация 4)",,,Асимптотические методы теории колебаний и волн (выборное),4 курс — 2 ЗЕТ,,,,
,,,Управление требованиями и проектирование информационных систем,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Математические методы нейродинамики (выборное),4 курс — 2 ЗЕТ,,,,
,,,Корпоративные информационные системы (на иностранном языке),"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Прикладной функциональный анализ (выборное),4 курс — 2 ЗЕТ,,,,
,,,Предпринимательство,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Комбинаторный анализ (выборное),4 курс — 2 ЗЕТ,,,,
,,,Управление качеством ИС (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 4)",,,Профессиональный C++ (выборное),4 курс — 2 ЗЕТ,,,,
,,,Информационные технологии для повышения эффективности бизнеса в экосистеме 1С,"4 курс — 3 ЗЕТ (выборное, специализация 4)",,,Вероятностные модели в теории очередей (выборное),4 курс — 2 ЗЕТ,,,,
,,,Разработка на бизнес-ориентированных языках программирования и Low-Code системы (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 4)",,,Алгоритмы распознавания образов (выборное),4 курс — 2 ЗЕТ,,,,
,,,Практикум по ERP- и CRM-системам (на иностранном языке),"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Введение в квантовые алгоритмы (выборное),4 курс — 2 ЗЕТ,,,,
,,,Компьютерная безопасность,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Машинное обучение и анализ данных (выборное),4 курс — 3 ЗЕТ,,,,
,,,Стратегический менеджмент,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Физические основы вычислительной техники (выборное),4 курс — 3 ЗЕТ,,,,
,,,Производственный менеджмент,"4 курс — 4 ЗЕТ (выборное, специализация 4)",,,Математическое моделирование и прикладной анализ данных (выборное),4 курс — 2 ЗЕТ,,,,
,,,Финансовый и управленческий учет,"3 курс — 3 ЗЕТ (выборное, специализация 4)",,,Помехоустойчивое кодирование (выборное),4 курс — 2 ЗЕТ,,,,
,,,Системы финансового планирования и бюджетирования,"4 курс — 3 ЗЕТ (выборное, специализация 4)",,,Разработка сетевых приложений на Java (выборное),4 курс — 2 ЗЕТ,,,,
,,,Архитектура вычислительных систем,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Теория массового обслуживания (выборное),4 курс — 2 ЗЕТ,,,,
,,,Управление жизненным циклом ИС поддержки принятия решений,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Численные методы в биофотонике (выборное),4 курс — 2 ЗЕТ,,,,
,,,Предпринимательство,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Введение в теорию волновых процессов (выборное),4 курс — 2 ЗЕТ,,,,
,,,Управление и моделирование в информационных системах поддержки принятия решений (на иностранном языке),"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Теория меры (выборное),4 курс — 2 ЗЕТ,,,,
,,,Управление качеством ИС поддержки принятия решений,"4 курс — 3 ЗЕТ (выборное, специализация 5)",,,Компьютерная алгебра (выборное),4 курс — 2 ЗЕТ,,,,
,,,Компьютерная безопасность,"4 курс — 3 ЗЕТ (выборное, специализация 5)",,,Системы поддержки принятия решений (выборное),4 курс — 2 ЗЕТ,,,,
,,,Проектирование человеко-машинных интерфейсов (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 5)",,,Вероятностные модели в естествознании (выборное),4 курс — 2 ЗЕТ,,,,
,,,Теория организации,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Математические методы биоинформатики (выборное),4 курс — 2 ЗЕТ,,,,
,,,Исследование операций,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Качественные методы исследования динамических систем (выборное),4 курс — 2 ЗЕТ,,,,
,,,Стратегический менеджмент,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Технологическая (проектно-технологическая) практика,3 курс — 3 ЗЕТ,,,,
,,,Модели принятия решений на основе лингвистической информации (на иностранном языке),"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Научно-исследовательская работа,3 курс — 6 ЗЕТ,,,,
,,,Стохастические модели принятия решений,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Преддипломная практика,4 курс — 6 ЗЕТ,,,,
,,,Методы и системы обработки больших данных (на иностранном языке),"4 курс — 4 ЗЕТ (выборное, специализация 5)",,,Выпускная квалификационная работа - бакалаврская работа,4 курс — 6 ЗЕТ,,,,
,,,Абстрактная алгебра,"3 курс — 3 ЗЕТ (выборное, специализация 5)",,,Проектирование Startup,4 курс — 1 ЗЕТ,,,,
,,,Системный анализ (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 5)",,,Эффективные алгоритмы и структуры данных,1 курс — 8 ЗЕТ,,,,
,,,Системы финансового планирования и бюджетирования,"4 курс — 3 ЗЕТ (выборное, специализация 5)",,,Олимпиадная математика,1 курс — 1 ЗЕТ,,,,
,,,Дизайн-мышление,"4 курс — 3 ЗЕТ (выборное, специализация 5)",,,Оптимизация производительности программ,3 курс — 1 ЗЕТ,,,,
,,,Программирование встраиваемых систем (на иностранном языке),"3 курс — 4 ЗЕТ (выборное, специализация 6)",,,Компьютерная графика,3 курс — 2 ЗЕТ,,,,
,,,Распределенные вычисления,"3 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Многопоточное программирование (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Анализ и разработка требований,"3 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Проектирование отказоустойчивых систем (на иностранном языке),"3 курс — 4 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Проектирование интерфейсов (UI/UX),"3 курс — 4 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Сетевые технологии,"3 курс — 5 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Компьютерная безопасность,"3 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Облачные технологии IoT,"4 курс — 4 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Управление качеством ИС (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Исследование операций,"3 курс — 4 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Интеллектуальный анализ данных (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Стохастические модели принятия решений,"4 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Производственный менеджмент,"4 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Разработка системных интерфейсов для промышленного интернета вещей,"4 курс — 3 ЗЕТ (выборное, специализация 6)",,,,,,,,
,,,Учебная практика,2 курс — 3 ЗЕТ,,,,,,,,
,,,Преддипломная практика,4 курс — 6 ЗЕТ,,,,,,,,
,,,Производственная практика,3 курс — 3 ЗЕТ,,,,,,,,
,,,Курсовая работа,3 курс — 3 ЗЕТ,,,,,,,,
,,,Курсовая междисциплинарная научно-исследовательская работа,2 курс — 3 ЗЕТ,,,,,,,,
,,,Проект,4 курс — 10 ЗЕТ,,,,,,,,
,,,Подготовка выпускной квалификационной работы,4 курс — 2 ЗЕТ,,,,,,,,
,,,Безопасность жизнедеятельности,1 курс — 1 ЗЕТ,,,,,,,,
,,,Физическая культура,2 курс — 1 ЗЕТ,,,,,,,,
,,,Правовая грамотность,2 курс — 3 ЗЕТ,,,,,,,,
,,,Философия,4 курс — 3 ЗЕТ,,,,,,,,
,,,История России,1 курс — 4 ЗЕТ,,,,,,,,
,,,Основы российской государственности,1 курс — 2 ЗЕТ,,,,,,,,
,,,Minor,2–3 курс — 20 ЗЕТ (выборное),,,,,,,,
,,,Независимый экзамен по английскому языку,— без ЗЕТ,,,,,,,,
,,,Подготовка и защита Project Proposal по теме ВКР,4 курс — 1 ЗЕТ,,,,,,,,
,,,Независимый экзамен по русскому языку,— без ЗЕТ,,,,,,,,
,,,Внутренний экзамен по английскому языку (1 курс),— без ЗЕТ,,,,,,,,
,,,Английский язык (на иностранном языке),1 курс — 14 ЗЕТ (факультатив),,,,,,,,
,,,Академическое письмо на английском языке,4 курс — 2 ЗЕТ (факультатив),,,,,,,,
,,,Независимый экзамен по алгоритмическому мышлению и программированию. Продвинутый уровень,— без ЗЕТ,,,,,,,,
,,,"Независимый экзамен по анализу данных, искусственному интеллекту и генеративным моделям. Продвинутый уровень",3 курс — 1 ЗЕТ,,,,,,,,
,,,Анализ данных и машинное обучение,3 курс — 3 ЗЕТ,,,,,,,,
,,,Научно-практический семинар «Цифровая грамотность»,1 курс — 3 ЗЕТ,,,,,,,,
,,,Алгоритмы и структуры данных (доп. главы),2 курс — 3 ЗЕТ,,,,,,,,
,,,Независимый экзамен по ИИ-грамотности,— без ЗЕТ,,,,,,,,
,,,Защита выпускной квалификационной работы,4 курс — 1 ЗЕТ,,,,,,,,
